dt,price,rsi,action,confidence,position,equity,reason
2026-07-19 20:00:00,64722.54,57.7,long,0.60,long,999.00,EMA20>EMA50 e MACD pra cima
2026-07-20 00:00:00,64869.80,59.6,long,0.60,long,1001.27,EMA20>EMA50 e MACD pra cima
2026-07-20 04:00:00,64280.01,50.0,long,0.60,long,992.17,EMA20>EMA50 e MACD pra cima
2026-07-20 08:00:00,65002.01,58.7,long,0.60,long,1003.31,EMA20>EMA50 e MACD pra cima
2026-07-20 12:00:00,65598.75,64.3,long,0.60,long,1012.52,EMA20>EMA50 e MACD pra cima
2026-07-20 16:00:00,65142.00,57.9,long,0.60,long,1005.47,EMA20>EMA50 e MACD pra cima
2026-07-20 20:00:00,65255.51,59.0,long,0.60,long,1007.23,EMA20>EMA50 e MACD pra cima
2026-07-21 00:00:00,65566.78,61.9,long,0.60,long,1012.03,EMA20>EMA50 e MACD pra cima
2026-07-21 04:00:00,66186.86,67.0,long,0.60,long,1021.60,EMA20>EMA50 e MACD pra cima
2026-07-21 08:00:00,66345.59,68.1,long,0.60,long,1024.05,EMA20>EMA50 e MACD pra cima
2026-07-21 12:00:00,66676.54,70.5,long,0.60,long,1029.16,EMA20>EMA50 e MACD pra cima
2026-07-21 16:00:00,66444.76,66.8,long,0.60,long,1025.58,EMA20>EMA50 e MACD pra cima
2026-07-21 20:00:00,66556.16,67.7,long,0.60,long,1027.30,EMA20>EMA50 e MACD pra cima
2026-07-22 00:00:00,66210.00,62.1,long,0.60,long,1021.96,EMA20>EMA50 e MACD pra cima
2026-07-22 04:00:00,65843.48,56.9,long,0.60,long,1016.30,EMA20>EMA50 e MACD pra cima
2026-07-22 08:00:00,66013.36,58.6,long,0.60,long,1018.92,EMA20>EMA50 e MACD pra cima
2026-07-22 12:00:00,66047.39,59.0,hold,0.30,long,1019.45,sem sinal claro
2026-07-22 16:00:00,65923.19,57.0,hold,0.30,long,1017.53,sem sinal claro
2026-07-22 20:00:00,66114.49,59.3,hold,0.30,long,1020.48,sem sinal claro
2026-07-23 00:00:00,65662.53,52.3,hold,0.30,long,1013.51,sem sinal claro
2026-07-23 04:00:00,65442.13,49.3,hold,0.30,long,1010.11,sem sinal claro
2026-07-23 08:00:00,65555.21,50.9,hold,0.30,long,1011.85,sem sinal claro
2026-07-23 12:00:00,64958.36,43.3,hold,0.30,long,1002.64,sem sinal claro
2026-07-23 16:00:00,64846.94,42.0,hold,0.30,long,1000.92,sem sinal claro
2026-07-23 20:00:00,65098.97,45.9,hold,0.30,long,1004.81,sem sinal claro
2026-07-24 00:00:00,65456.70,50.8,hold,0.30,long,1010.33,sem sinal claro
2026-07-24 04:00:00,65499.95,51.4,hold,0.30,long,1011.00,sem sinal claro
2026-07-24 08:00:00,65083.43,45.8,hold,0.30,long,1004.57,sem sinal claro
2026-07-24 12:00:00,64093.85,35.8,hold,0.30,long,989.30,sem sinal claro
2026-07-24 16:00:00,63967.38,34.7,hold,0.30,long,987.34,sem sinal claro
